transaction_id,store_id,product_id,transaction_date,quantity_sold,unit_price,discount_pct
93,4,64,2024-08-20,4,54.54,0.15
94,10,149,2024-07-02,9,212.9,0.0
95,7,157,2024-06-24,12,147.67,0.1
96,3,116,2024-09-07,4,182.63,0.0
97,3,126,2024-09-03,12,,0.0
98,9,161,2024-09-09,1,203.07,0.0
99,10,130,2024-06-12,12,200.9,0.0
100,4,76,2024-05-12,-5,150.97,0.0
101,6,158,2024-07-21,9,81.38,0.15
102,9,153,2024-07-10,5,149.65,0.0
103,4,26,2024-10-11,4,163.65,0.0
104,5,134,2024-05-29,12,141.92,0.0
105,9,62,2024-12-24,5,11.77,0.0
106,2,131,2024-08-21,3,141.63,0.0
107,6,12,2024-06-04,10,105.87,0.15
108,6,22,2024-11-24,2,28.7,0.1
109,9,104,2024-05-16,9,246.47,0.0
110,5,128,2024-11-27,6,177.81,0.15
111,10,41,2024-02-03,11,157.72,0.05
112,6,98,2024-12-17,2,93.24,0.15
113,3,109,2024-05-19,6,204.21,0.0
114,5,129,19/08/2024,3,151.03,0.05
115,8,116,2024-07-20,3,182.63,0.05
116,1,65,2024-09-06,5,65.09,0.0
117,4,131,2024-10-03,9,141.63,0.15
118,7,95,2024-05-16,2,244.81,0.1
119,10,159,2024-07-13,9,51.69,0.0
120,2,5,2024-11-29,10,152.79,0.0
121,9,30,2024-04-03,2,212.07,0.0
122,3,38,2024-01-15,6,27.57,0.0
123,10,75,2024-03-04,9,29.49,0.15
124,7,25,2024-04-29,3,179.28,0.05
125,3,61,2024-04-06,9,24.26,0.0
126,1,48,2024-04-02,11,43.06,0.0
127,7,162,2024-03-21,2,125.27,0.05
128,1,11,2024-04-27,9,117.42,0.15
129,9,50,2024-08-21,1,168.2,0.05
130,10,78,2024-11-02,-4,125.42,0.05
131,8,91,2024-09-09,12,146.33,0.15
132,2,6,2024-01-14,10,18.62,0.25
133,7,78,2024-04-15,9,125.42,0.25
134,9,159,17/08/2024,3,51.69,0.0
135,1,83,2024-11-19,7,48.4,0.0
136,7,86,2024-08-05,7,125.76,0.15
137,4,52,2024-12-13,10,158.1,0.0
138,1,83,2024-12-22,3,48.4,0.0
139,7,86,2024-12-01,12,125.76,0.15
140,1,4,18/11/2024,6,167.47,0.0
141,4,148,2024-12-13,7,126.73,0.0
142,7,5,2024-10-09,5,152.79,0.0
143,6,76,2024-12-12,7,150.97,0.1
144,9,94,2024-09-14,11,179.27,0.05
145,8,132,2024-12-23,9,133.08,0.1
146,8,34,2024-12-03,6,99.91,0.0
147,10,126,2024-11-20,6,28.64,0.25
148,2,105,2024-04-10,2,136.88,0.0
149,10,85,2024-06-19,2,88.45,0.0
150,7,4,2024-11-26,6,167.47,0.25
151,8,158,2024-12-10,4,81.38,0.0
152,5,137,2024-12-09,7,165.65,0.05
153,9,77,2024-08-29,1,68.92,0.15
154,10,32,2024-10-19,10,195.25,0.0
155,8,165,2024-02-19,10,56.11,0.05
156,9,115,2024-01-27,1,212.31,0.1
157,9,53,2024-05-04,9,131.05,0.0
158,5,28,13/12/2024,2,143.98,0.1
159,3,31,2024-12-18,10,110.33,0.0
160,3,130,2024-11-22,-8,200.9,0.0
161,8,126,2024-05-13,9,28.64,0.25
162,10,111,2024-04-20,5,43.1,0.25
163,7,83,2024-06-06,9,48.4,0.1
164,4,24,2024-04-03,6,80.42,0.0
165,9,159,2024-03-15,6,51.69,0.05
166,10,34,2024-07-20,8,99.91,0.15
167,7,80,2024-01-10,1,210.02,0.0
168,8,158,2024-07-13,10,81.38,0.0
169,8,35,2024-03-22,6,8.64,0.05
170,1,112,2024-10-03,9,58.1,0.05
171,7,102,09/09/2024,8,25.17,0.1
172,7,166,2024-12-25,5,44.53,0.1
173,7,143,2024-11-26,2,233.86,0.0
174,8,69,2024-10-11,1,68.64,0.05
175,9,170,2024-04-04,1,8.38,0.0
176,9,83,2024-11-02,4,48.4,0.15
177,4,79,2024-09-09,12,156.97,0.0
178,8,1,2024-08-16,9,38.35,0.0
179,9,79,2024-07-21,12,156.97,0.05
180,3,121,2024-11-17,10,164.69,0.05
181,2,69,2024-11-08,12,68.64,0.0
182,5,129,2024-04-28,4,151.03,0.05
183,10,30,2024-01-12,7,212.07,0.25
184,9,89,2024-03-31,6,16.36,0.0
185,1,6,2024-10-24,7,18.62,0.0
186,1,54,2024-11-03,8,241.98,0.05
187,8,91,2024-11-07,9,146.33,0.05
188,4,37,2024-10-17,4,19.91,0.1
189,6,9,2024-11-14,3,100.29,0.1
190,7,144,2024-04-20,3,72.5,0.25
191,5,125,2024-01-22,5,151.37,0.0
192,9,148,2024-05-08,9,126.73,0.0
193,1,67,2024-02-22,4,107.18,0.1
194,8,11,2024-06-14,11,117.42,0.0
195,3,100,2024-10-04,11,120.25,0.1
196,3,20,2024-06-10,8,150.34,0.15
197,4,14,2024-12-23,8,13.97,0.15
198,10,13,2024-11-21,5,91.64,0.0
199,9,68,2024-10-20,10,17.26,0.0
200,8,60,2024-11-29,1,27.88,0.0
201,7,119,23/06/2024,9,38.1,0.0
202,3,9,2024-10-19,10,100.29,0.0
203,5,45,2024-03-13,8,29.94,0.15
204,8,123,2024-04-09,6,108.4,0.25
205,4,109,2024-10-06,5,204.21,0.0
206,1,168,2024-01-09,3,115.57,0.0
207,8,163,2024-06-23,1,102.16,0.1
208,5,148,2024-08-29,8,126.73,0.05
209,8,150,2024-03-02,4,89.35,0.0
210,9,33,2024-05-08,10,162.49,0.05
211,1,58,2024-05-26,12,216.14,0.15
212,5,78,2024-02-06,10,125.42,0.25
213,9,163,2024-12-29,8,102.16,0.0
214,4,91,2024-08-08,1,146.33,0.0
215,4,144,2024-05-13,4,72.5,0.05
216,10,87,2024-04-24,11,211.16,0.25
217,4,131,2024-04-21,12,141.63,0.0
218,4,74,2024-10-26,9,77.0,0.0
219,4,67,2024-02-29,5,107.18,0.05
220,10,114,2024-04-17,12,137.91,0.25
221,9,10,2024-12-18,2,136.82,0.0
222,5,142,2024-11-11,3,36.7,0.05
223,9,10,2024-06-30,5,136.82,0.25
224,8,138,2024-09-04,8,98.66,0.0
225,7,160,16/02/2024,10,215.87,0.0
226,9,62,2024-07-05,5,11.77,0.0
227,7,30,2024-12-09,7,212.07,0.0
228,5,16,2024-01-08,9,78.24,0.0
229,2,106,2024-12-28,10,97.25,0.05
230,6,132,2024-06-20,3,133.08,0.0
231,3,64,2024-05-12,2,54.54,0.0
232,2,113,2024-12-21,4,114.72,0.0
233,2,11,2024-06-09,9,117.42,0.1
234,3,123,2024-04-04,8,108.4,0.0
235,4,8,2024-09-01,5,98.81,0.0
236,5,83,2024-04-09,7,48.4,0.0
237,1,23,2024-12-18,12,135.4,0.05
238,3,111,2024-03-16,1,43.1,0.15
239,8,148,2024-12-01,11,126.73,0.25
240,3,34,2024-12-28,7,99.91,0.0
241,3,163,2024-12-10,5,102.16,0.05
242,6,159,2024-07-25,7,51.69,0.0
243,7,144,2024-06-14,3,72.5,0.1
244,1,8,2024-01-05,8,98.81,0.0
245,7,93,2024-01-10,1,187.19,0.1
246,8,104,2024-04-04,10,246.47,0.05
247,1,159,2024-04-03,2,51.69,0.25
248,10,104,2024-11-01,4,246.47,0.0
249,6,107,2024-10-14,1,9.07,0.0
250,7,144,2024-07-30,1,72.5,0.0
251,8,64,2024-12-21,6,54.54,0.0
252,4,137,2024-01-26,11,165.65,0.0
253,5,110,2024-10-20,10,240.3,0.0
254,2,169,2024-09-18,3,48.02,0.1
255,8,25,2024-11-10,9,179.28,0.25
256,9,50,2024-05-20,9,168.2,0.0
257,7,96,2024-10-07,2,169.6,0.15
258,5,48,2024-12-17,2,43.06,0.0
259,10,104,2024-03-06,7,246.47,0.25
260,3,150,2024-11-20,11,89.35,0.25
261,2,154,2024-05-10,10,104.34,0.05
262,1,89,2024-11-14,5,16.36,0.0
263,6,9,2024-06-28,12,100.29,0.25
264,8,115,2024-04-16,10,212.31,0.15
265,5,96,2024-03-02,8,169.6,0.0
266,3,28,2024-10-14,10,,0.15
267,3,139,2024-07-05,3,81.1,0.25
268,9,93,2024-04-23,8,187.19,0.0
269,7,110,2024-09-18,12,240.3,0.05
270,5,118,2024-11-01,12,153.88,0.1
271,7,145,2024-04-01,12,33.88,0.0
272,8,64,2024-02-21,10,54.54,0.25
273,10,62,2024-10-11,6,11.77,0.25
274,10,124,2024-05-30,5,19.68,0.25
275,1,111,2024-05-20,6,43.1,0.25
276,9,95,2024-11-14,12,244.81,0.25
277,3,1,2024-12-16,10,38.35,0.0
278,6,131,2024-04-03,7,141.63,0.0
279,1,16,2024-11-23,12,78.24,0.1
280,4,92,2024-11-23,10,96.38,0.0
281,8,74,2024-01-15,5,77.0,0.0
282,2,2,2024-09-18,12,81.57,0.25
283,4,115,22/02/2024,6,212.31,0.25
284,5,48,2024-09-28,2,43.06,0.0
285,5,29,2024-11-15,3,128.85,0.25
286,7,98,2024-07-30,2,93.24,0.1
287,7,102,2024-12-02,4,25.17,0.25
288,6,102,2024-03-15,5,25.17,0.25
289,10,21,2024-12-22,10,89.09,0.1
290,8,19,2024-12-03,3,61.27,0.0
291,2,23,2024-09-14,5,135.4,0.1
292,7,78,2024-09-22,11,125.42,0.05
293,3,9,2024-01-29,7,100.29,0.1
294,5,143,2024-03-11,4,233.86,0.0
295,6,108,2024-04-28,4,151.96,0.0
296,6,101,2024-12-28,8,131.65,0.0
297,6,12,2024-11-14,8,105.87,0.1
298,8,123,2024-12-24,7,108.4,0.1
299,1,45,2024-12-12,8,29.94,0.15
300,8,145,2024-12-19,2,33.88,0.05
301,9,64,2024-02-07,10,54.54,0.0
302,10,134,2024-07-12,10,141.92,0.0
303,10,117,2024-02-22,7,144.39,0.1
304,9,152,2024-12-03,12,77.49,0.0
305,5,116,2024-09-07,5,182.63,0.25
306,6,36,2024-11-16,11,31.45,0.0
307,2,48,2024-08-19,2,43.06,0.1
308,4,117,2024-03-23,4,144.39,0.25
309,5,80,2024-07-02,11,210.02,0.0
310,9,62,2024-11-15,1,11.77,0.0
311,2,157,08/10/2024,11,147.67,0.05
312,4,128,2024-11-26,7,177.81,0.0
313,2,118,2024-07-28,12,153.88,0.1
314,9,20,2024-10-25,1,150.34,0.1
315,10,9,2024-05-17,12,100.29,0.25
316,5,70,2024-01-23,6,149.07,0.1
317,8,58,2024-11-11,10,216.14,0.0
318,6,166,2024-01-16,7,44.53,0.25
319,2,5,2024-03-25,2,152.79,0.05
320,7,135,2024-11-06,3,198.75,0.0
321,6,56,2024-07-24,7,91.09,0.05
322,7,101,2024-09-09,4,131.65,0.0
323,1,107,2024-11-01,5,9.07,0.0
324,4,104,2024-01-10,3,246.47,0.0
325,2,38,2024-06-20,7,27.57,0.0
326,1,156,2024-07-10,2,173.78,0.0
327,10,2,2024-10-14,12,81.57,0.1
328,9,39,2024-06-06,10,112.9,0.05
329,1,53,2024-06-12,11,131.05,0.25
330,3,120,2024-01-25,11,234.32,0.0
331,2,144,2024-12-12,1,72.5,0.0
332,1,30,2024-11-17,1,212.07,0.25
333,3,151,2024-01-25,3,22.4,0.0
334,2,36,2024-01-20,-12,31.45,0.0
335,1,162,2024-05-27,3,125.27,0.05
336,1,124,2024-09-07,9,19.68,0.1
337,9,132,2024-09-27,2,133.08,0.05
338,3,144,2024-01-05,5,72.5,0.0
339,1,139,2024-07-20,8,81.1,0.25
340,3,66,2024-09-23,6,254.58,0.15
341,10,115,2024-02-04,7,212.31,0.0
342,9,126,2024-03-07,3,28.64,0.0
343,3,6,2024-11-17,10,18.62,0.0
344,8,94,2024-08-29,7,179.27,0.15
345,7,128,2024-07-27,9,177.81,0.0
346,7,33,2024-01-03,6,162.49,0.0
347,4,148,2024-11-28,9,126.73,0.0
348,5,30,2024-11-28,11,212.07,0.0
349,3,121,2024-05-29,7,164.69,0.0
350,10,10,2024-01-02,2,136.82,0.25
351,4,159,2024-01-27,6,51.69,0.0
352,6,164,2024-11-20,7,78.92,0.25
353,4,18,2024-02-21,4,204.77,0.15
354,1,57,2024-09-01,7,75.29,0.1
355,3,47,2024-03-30,12,118.87,0.15
356,4,68,2024-03-22,10,17.26,0.25
357,9,62,2024-06-18,12,11.77,0.0
358,3,169,2024-02-07,11,48.02,0.0
359,4,90,2024-07-24,7,98.0,0.0
360,2,20,2024-08-20,10,150.34,0.0
361,6,96,2024-03-11,4,169.6,0.05
362,5,65,2024-08-31,2,65.09,0.05
363,7,126,2024-12-11,10,28.64,0.0
364,4,154,2024-12-24,11,104.34,0.1
365,8,90,2024-02-04,1,98.0,0.25
366,2,138,2024-06-23,4,98.66,0.25
367,6,106,2024-08-18,11,97.25,0.0
368,4,13,2024-08-05,3,91.64,0.0
369,2,163,2024-10-26,8,102.16,0.15
370,1,85,2024-08-26,6,88.45,0.1
371,5,44,2024-07-11,4,260.43,0.0
372,3,14,2024-07-06,9,13.97,0.15
373,9,54,2024-12-03,12,241.98,0.0
374,4,137,2024-11-18,1,165.65,0.0
375,6,45,2024-12-21,8,29.94,0.25
376,7,104,2024-01-19,2,246.47,0.1
377,10,48,2024-08-06,4,43.06,0.15
378,7,99,2024-11-14,9,207.07,0.0
379,8,20,2024-04-30,4,150.34,0.0
380,9,60,2024-07-14,9,27.88,0.05
381,7,136,2024-02-03,7,182.39,0.0
382,1,30,2024-10-22,9,212.07,0.25
383,9,78,2024-09-04,1,125.42,0.0
384,1,22,2024-11-22,4,28.7,0.0
385,8,131,2024-12-24,10,141.63,0.25
386,5,70,2024-02-08,6,149.07,0.0
387,9,155,2024-10-31,5,165.6,0.25
388,5,36,2024-01-15,3,31.45,0.1
389,6,25,2024-12-01,5,179.28,0.05
390,4,39,2024-02-22,2,112.9,0.1
391,5,81,2024-11-13,10,39.73,0.0
392,7,44,09/04/2024,3,260.43,0.1
393,9,56,2024-12-19,7,91.09,0.25
394,6,3,2024-01-25,4,91.88,0.0
395,4,65,2024-11-15,1,65.09,0.0
396,7,136,17/12/2024,9,182.39,0.0
397,3,132,2024-12-12,12,133.08,0.1
398,6,147,2024-01-03,6,159.14,0.25
399,6,5,2024-08-17,11,152.79,0.1
400,2,5,2024-02-04,9,152.79,0.25
401,7,70,2024-09-03,1,149.07,0.0
402,4,61,2024-02-07,8,,0.0
403,5,30,27/10/2024,7,212.07,0.25
404,1,10,2024-03-21,10,136.82,0.05
405,7,37,2024-11-24,3,19.91,0.0
406,10,44,2024-04-23,10,260.43,0.0
407,10,141,2024-03-26,9,45.08,0.15
408,8,167,2024-03-13,6,20.08,0.05
409,6,170,2024-09-11,5,8.38,0.15
410,1,163,2024-03-22,12,102.16,0.0
411,1,56,2024-04-26,11,91.09,0.0
412,9,38,2024-09-24,1,27.57,0.15
413,10,40,2024-08-24,2,21.17,0.15
414,8,67,2024-03-28,11,107.18,0.1
415,7,144,2024-11-14,7,72.5,0.0
416,5,26,2024-07-07,8,163.65,0.15
417,4,118,2024-02-07,4,153.88,0.0
418,4,55,2024-11-20,5,120.86,0.0
419,10,101,2024-11-03,5,131.65,0.1
420,3,34,2024-01-20,2,99.91,0.1
421,3,76,23/07/2024,4,150.97,0.0
422,4,21,2024-08-18,2,89.09,0.1
423,9,91,2024-03-03,9,146.33,0.05
424,3,152,2024-12-01,11,77.49,0.0
425,6,98,2024-12-10,2,93.24,0.15
426,4,54,2024-11-26,2,241.98,0.05
427,10,63,2024-08-25,4,110.07,0.0
428,6,24,2024-04-04,10,80.42,0.05
429,1,114,2024-06-23,2,137.91,0.0
430,10,142,2024-09-15,7,36.7,0.25
431,5,66,2024-12-01,4,254.58,0.15
432,5,22,2024-08-07,11,28.7,0.1
433,10,119,2024-11-10,5,38.1,0.25
434,4,106,2024-11-20,3,97.25,0.1
435,7,55,2024-12-23,6,120.86,0.1
436,9,124,2024-07-13,7,19.68,0.0
437,4,146,2024-05-12,8,127.32,0.0
438,6,141,2024-06-05,4,45.08,0.0
439,5,38,2024-04-21,7,,0.0
440,4,170,2024-11-13,1,8.38,0.0
441,2,148,2024-10-23,6,126.73,0.1
442,5,13,2024-02-14,9,91.64,0.1
443,1,19,2024-11-28,8,61.27,0.1
444,4,68,2024-12-24,11,17.26,0.05
445,9,146,2024-11-08,11,127.32,0.25
446,3,136,2024-07-11,8,182.39,0.0
447,5,108,2024-12-22,2,151.96,0.15
448,1,90,2024-09-16,7,98.0,0.0
449,5,169,2024-12-21,6,48.02,0.0
450,2,94,2024-05-27,7,179.27,0.15
451,6,37,2024-01-04,2,19.91,0.25
452,10,108,2024-11-10,8,151.96,0.15
453,4,129,2024-09-24,11,151.03,0.0
454,6,158,2024-03-31,7,81.38,0.0
455,5,158,2024-07-02,7,81.38,0.25
456,2,79,2024-06-16,2,156.97,0.0
457,9,96,2024-10-14,5,169.6,0.1
458,10,143,2024-09-11,6,233.86,0.1
459,2,55,2024-07-05,6,120.86,0.1
460,9,54,2024-04-24,4,241.98,0.0
461,2,10,2024-09-02,1,136.82,0.0
462,9,164,2024-05-21,12,78.92,0.0
463,3,76,2024-12-22,6,150.97,0.25
464,8,168,2024-04-02,8,115.57,0.0
465,7,89,2024-07-10,-10,16.36,0.25
466,8,33,2024-09-10,12,162.49,0.05
467,6,137,2024-10-08,6,165.65,0.0
468,9,14,2024-12-12,2,13.97,0.15
469,8,148,2024-08-20,7,126.73,0.0
470,9,60,2024-05-01,2,27.88,0.1
471,6,152,2024-04-15,2,77.49,0.05
472,5,57,2024-12-11,6,75.29,0.1
473,1,91,2024-11-05,12,146.33,0.0
474,8,44,2024-08-10,2,260.43,0.0
475,10,168,23/11/2024,10,115.57,0.1
476,1,40,2024-12-15,5,21.17,0.05
477,9,129,2024-09-20,12,151.03,0.0
478,3,42,2024-12-16,4,169.87,0.0
479,9,118,2024-12-13,6,153.88,0.25
480,7,60,2024-02-18,10,27.88,0.0
481,9,68,2024-10-10,8,,0.0
482,3,50,2024-11-17,6,168.2,0.0
483,7,95,2024-12-01,5,244.81,0.1
484,3,113,2024-08-12,1,114.72,0.05
485,4,114,2024-05-01,8,137.91,0.1
486,7,97,2024-02-09,7,51.84,0.15
487,9,73,2024-05-26,4,242.79,0.0
488,2,95,2024-08-27,2,244.81,0.0
489,8,62,2024-08-11,6,11.77,0.0
490,5,149,2024-11-01,3,212.9,0.0
491,9,51,2024-07-05,11,160.16,0.05
492,10,37,2024-05-24,-12,19.91,0.1
493,1,126,2024-06-18,3,28.64,0.0
494,9,1,2024-03-25,2,38.35,0.0
495,9,119,2024-04-09,1,38.1,0.15
496,7,9,2024-06-10,8,100.29,0.0
497,7,121,2024-05-17,7,164.69,0.0
498,7,11,2024-01-22,10,117.42,0.25
499,8,136,2024-06-30,2,182.39,0.0
500,6,54,2024-05-10,3,241.98,0.05
501,10,117,2024-03-20,1,144.39,0.1
502,5,26,2024-01-07,5,163.65,0.0
503,3,134,2024-06-04,9,141.92,0.0
504,6,153,2024-12-02,9,149.65,0.0
505,6,78,2024-10-20,12,125.42,0.0
506,8,77,2024-08-26,2,68.92,0.15
507,3,145,2024-01-02,6,33.88,0.0
508,1,37,2024-06-21,2,19.91,0.25
509,7,70,2024-03-15,4,149.07,0.05
510,1,120,2024-12-22,10,234.32,0.1
511,6,133,2024-03-31,5,107.43,0.25
512,6,105,2024-09-05,3,136.88,0.0
513,3,28,2024-01-29,4,143.98,0.15
514,2,122,2024-04-20,9,28.93,0.15
515,6,26,2024-10-30,1,163.65,0.05
516,3,6,2024-11-22,7,18.62,0.0
517,10,24,2024-06-05,9,80.42,0.0
518,3,149,2024-12-10,12,212.9,0.0
519,7,15,2024-11-10,7,149.2,0.0
520,9,6,2024-04-09,6,18.62,0.05
521,5,70,2024-04-03,11,149.07,0.0
522,7,77,2024-06-09,11,68.92,0.0
523,8,29,2024-07-25,2,128.85,0.25
524,3,147,2024-01-14,12,159.14,0.1
525,6,100,2024-12-05,8,120.25,0.15
526,2,98,2024-12-18,10,93.24,0.0
527,1,46,2024-11-02,10,46.4,0.25
528,2,32,2024-01-01,5,195.25,0.1
529,2,67,2024-06-01,9,107.18,0.1
530,9,162,2024-02-25,2,125.27,0.1
531,7,87,20/12/2024,10,211.16,0.0
532,1,2,2024-07-30,3,81.57,0.15
533,10,103,2024-02-10,6,143.37,0.1
534,6,70,2024-03-09,7,149.07,0.0
535,5,147,2024-06-22,3,159.14,0.25
536,3,71,2024-08-22,3,11.55,0.05
537,4,141,2024-07-16,11,45.08,0.0
538,9,51,2024-04-02,12,160.16,0.05
539,2,26,2024-08-12,4,163.65,0.25
540,6,119,2024-11-10,11,38.1,0.1
541,10,56,2024-01-27,10,91.09,0.25
542,8,76,2024-07-28,1,150.97,0.0
543,6,61,2024-05-28,1,24.26,0.0
544,4,133,2024-08-23,5,107.43,0.15
545,1,14,2024-09-09,10,13.97,0.0
546,5,33,2024-12-11,11,162.49,0.1
547,8,7,2024-12-26,7,12.29,0.0
548,2,68,2024-11-25,6,17.26,0.05
549,9,71,2024-10-30,9,11.55,0.0
550,6,146,2024-12-04,1,127.32,0.0
551,1,154,2024-03-11,2,104.34,0.0
552,2,25,2024-11-18,2,179.28,0.0
553,9,152,2024-12-06,12,77.49,0.15
554,2,157,2024-09-09,5,147.67,0.0
555,5,115,2024-08-29,1,212.31,0.1
556,2,90,2024-10-06,4,98.0,0.25
557,4,107,2024-11-01,5,9.07,0.0
558,2,13,2024-08-20,7,91.64,0.0
559,7,37,2024-08-11,8,19.91,0.0
560,9,106,2024-05-12,8,97.25,0.0
561,8,41,17/12/2024,6,157.72,0.15
562,7,170,2024-11-23,1,8.38,0.0
563,5,132,23/08/2024,12,133.08,0.0
564,7,73,2024-02-24,4,242.79,0.1
565,3,59,2024-11-09,3,30.25,0.25
566,7,58,2024-02-10,10,216.14,0.05
567,1,25,2024-04-15,12,179.28,0.1
568,8,141,2024-01-08,7,45.08,0.1
569,7,122,2024-12-28,3,28.93,0.05
570,1,123,2024-10-13,6,108.4,0.0
571,5,52,16/09/2024,4,158.1,0.25
572,3,119,2024-03-15,6,,0.25
573,1,22,2024-08-14,9,28.7,0.0
574,8,128,2024-04-04,4,177.81,0.0
575,8,87,2024-12-02,2,211.16,0.25
576,10,77,2024-06-23,8,68.92,0.25
577,5,115,2024-02-16,11,212.31,0.0
578,5,4,2024-05-28,6,167.47,0.0
579,5,111,2024-04-10,6,43.1,0.1
580,5,9,2024-02-10,3,100.29,0.0
581,5,146,2024-12-25,12,127.32,0.0
582,9,110,2024-11-02,1,240.3,0.05
583,10,39,2024-06-03,8,112.9,0.05
584,8,125,2024-12-28,4,151.37,0.15
585,1,32,2024-12-02,7,195.25,0.05
586,1,102,2024-02-09,10,25.17,0.1
587,8,121,2024-12-21,3,164.69,0.0
588,6,7,2024-05-18,2,12.29,0.1
589,2,55,2024-04-16,3,120.86,0.25
590,2,53,2024-10-17,12,131.05,0.05
591,9,94,2024-01-26,12,179.27,0.0
592,10,125,2024-09-02,12,151.37,0.25
593,10,77,2024-12-01,5,68.92,0.25
594,4,123,2024-05-16,10,108.4,0.1
595,7,60,2024-12-23,12,,0.25
596,7,14,2024-07-04,9,13.97,0.0
597,10,81,2024-08-17,1,39.73,0.15
598,7,31,2024-11-28,8,110.33,0.1
599,2,51,2024-01-14,8,160.16,0.1
600,4,122,2024-08-14,2,28.93,0.15
601,10,40,2024-06-02,9,21.17,0.1
602,6,156,2024-12-14,5,173.78,0.0
603,9,11,2024-07-14,10,117.42,0.25
604,8,24,2024-01-16,6,80.42,0.0
605,5,61,2024-03-19,10,24.26,0.0
606,5,7,2024-12-14,5,12.29,0.05
