product_id,product_name,category,subcategory,unit_cost,unit_price
140,Science Skincare,Health & Beauty,Skincare,81.2,147.3
141,Force Skincare,Health & Beauty,Skincare,27.1,45.08
142,Radio Skincare,Health & Beauty,Skincare,16.44,36.7
143,Participant Skincare,Health & Beauty,Skincare,112.86,233.86
144,Responsibility Skincare,Health & Beauty,Skincare,45.21,72.5
145,Term Skincare,Health & Beauty,Skincare,18.2,33.88
146,Like Skincare,Health & Beauty,Skincare,90.11,127.32
147,Feel Skincare,Health & Beauty,Skincare,106.42,159.14
148,Sense Skincare,Health & Beauty,Skincare,80.8,126.73
149,Imagine Haircare,Health & Beauty,Haircare,119.3,212.9
150,Very Haircare,Health & Beauty,Haircare,51.71,89.35
151,Relate Haircare,Health & Beauty,Haircare,12.88,22.4
152,Hand Haircare,Health & Beauty,Haircare,41.88,77.49
153,Agency Haircare,Health & Beauty,Haircare,84.97,149.65
154,Yeah Haircare,Health & Beauty,Haircare,63.06,104.34
155,Main Haircare,Health & Beauty,Haircare,115.37,165.6
156,Hear Haircare,Health & Beauty,Haircare,110.39,173.78
157,Concern Haircare,Health & Beauty,Haircare,105.41,147.67
158,Popular Haircare,Health & Beauty,Haircare,34.09,81.38
159,But Haircare,Health & Beauty,Haircare,23.42,51.69
160,Minute Wellnes,Health & Beauty,Wellness,102.25,215.87
161,Artist Wellnes,Health & Beauty,Wellness,113.63,203.07
162,Discover Wellnes,Health & Beauty,Wellness,65.32,125.27
163,Special Wellnes,Health & Beauty,Wellness,60.36,102.16
164,Field Wellnes,Health & Beauty,Wellness,34.93,78.92
165,Carry Wellnes,Health & Beauty,Wellness,23.63,56.11
166,Single Wellnes,Health & Beauty,Wellness,33.73,44.53
167,End Wellnes,Health & Beauty,Wellness,12.45,20.08
168,Information Wellnes,Health & Beauty,Wellness,73.76,115.57
169,Include Wellnes,Health & Beauty,Wellness,33.21,48.02
170,Whom Wellnes,Health & Beauty,Wellness,3.36,8.38
